month,Store,NPS,count_of_responses
2023-09,SOROCABA,93.54838709677419,62
2023-09,TATUAPÉ,74.64788732394366,71
2023-09,TIJUCA,86.88524590163935,61
2023-09,TUCURUVI,85.18518518518519,27
2023-10,BELO HORIZONTE,69.38775510204081,49
2023-10,CAMPINAS,90.625,64
2023-10,COPACABANA,78.94736842105263,76
2023-10,IPIRANGA,66.0,50
2023-10,ITAIM,60.0,25
2023-10,JARDINS,67.25663716814158,113
2023-10,LAPA,78.68852459016394,61
2023-10,LONDRINA,86.0,50
2023-10,MOEMA,83.72093023255815,43
2023-10,RIBEIRÃO PRETO,78.26086956521739,23
2023-10,SANTO AMARO,74.32432432432434,74
2023-10,SANTOS,68.33333333333333,60
2023-10,SOROCABA,85.91549295774648,71
2023-10,TATUAPÉ,78.3132530120482,83
2023-10,TIJUCA,85.1063829787234,94
2023-10,TUCURUVI,84.21052631578948,38
2023-11,BELO HORIZONTE,70.49180327868852,61
2023-11,CAMPINAS,85.41666666666666,48
2023-11,COPACABANA,89.39393939393939,66
2023-11,IPIRANGA,55.55555555555556,54
2023-11,ITAIM,84.21052631578947,19
2023-11,JARDINS,68.29268292682926,82
2023-11,LAPA,79.16666666666667,48
2023-11,LONDRINA,94.33962264150944,53
2023-11,MOEMA,85.18518518518519,54
2023-11,RIBEIRÃO PRETO,80.0,40
2023-11,SANTO AMARO,71.73913043478262,46
2023-11,SANTOS,71.69811320754718,53
2023-11,SOROCABA,87.09677419354838,62
2023-11,TATUAPÉ,76.62337662337661,77
2023-11,TIJUCA,90.47619047619048,84
2023-11,TUCURUVI,45.45454545454545,55
2023-12,BELO HORIZONTE,70.37037037037037,54
2023-12,CAMPINAS,81.0344827586207,58
2023-12,COPACABANA,86.5979381443299,97
2023-12,IPIRANGA,78.72340425531915,47
2023-12,ITAIM,76.19047619047619,21
2023-12,JARDINS,55.172413793103445,87
2023-12,LAPA,83.67346938775509,49
2023-12,LONDRINA,79.1044776119403,67
2023-12,MOEMA,64.86486486486487,37
2023-12,MOOCA,85.71428571428571,21
2023-12,RIBEIRÃO PRETO,86.8421052631579,38
2023-12,SANTO AMARO,60.29411764705882,68
2023-12,SANTOS,82.22222222222221,45
2023-12,SOROCABA,78.37837837837837,37
2023-12,TATUAPÉ,77.65957446808511,94
2023-12,TIJUCA,87.35632183908046,87
2023-12,TUCURUVI,67.56756756756756,37
2024-01,BELO HORIZONTE,65.0,40
2024-01,CAMPINAS,91.04477611940298,67
2024-01,COPACABANA,80.28169014084507,71
2024-01,IPIRANGA,69.23076923076923,65
2024-01,ITAIM,30.76923076923077,13
2024-01,JARDINS,63.23529411764706,68
2024-01,LAPA,72.72727272727273,55
2024-01,LONDRINA,88.23529411764706,34
2024-01,MOEMA,84.61538461538461,39
2024-01,MOOCA,65.625,32
2024-01,OSASCO,49.99999999999999,10
2024-01,RIBEIRÃO PRETO,88.88888888888889,27
2024-01,SANTO AMARO,69.23076923076923,65
2024-01,SANTOS,82.14285714285714,56
2024-01,SOROCABA,83.33333333333333,42
2024-01,TATUAPÉ,77.64705882352942,85
2024-01,TIJUCA,85.88235294117648,85
